A,B,Source,Note,Text,Link Size
Pierre Poilievre,Canada Proud,,,,1
Pierre Poilievre,Canada Strong and Free Network,,,,1
Pierre Poilievre,Pathways Alliance,,,,1
Proudly New Brunswick,Canada Proud,,,,1
Proudly New Brunswick,Canada Strong and Proud/Proud to Be a Canadian,,,,1
Quebec Proud,Canada Proud,,,,1
Quebec Proud,Canada Strong and Proud/Proud to Be a Canadian,,,,1
Second Street,Atlas Network,https://www.desmog.com/secondstreet-org/,Member,Second Street is a member of the Atlas network.,1
Suncor,Pathways Alliance,https://www.desmog.com/pathways-alliance/,Member,Suncor is a member of the Pathways Alliance.,1
Quebec Fier,Canada Proud,,,,1
West Coast Proud,Canada Proud,,,,1
Ontario Strong,Canada Proud,,,,1
Saskatchewan Strong,Canada Proud,,,,1
Manitoba Strong,Canada Proud,,,,1
Fraser Institute,Atlas Network,https://newrepublic.com/article/175488/atlas-shadowy-global-network-right-wing-think-tanks,Member,The Fraser Institute is a member of the Atlas network.,1
