A,B,Note,Source,Text
Jason Nixon,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Jason Nixon, <i>Member</i>:<br>United Conservative Party of Alberta"
Jason Stephan,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Jason Stephan, <i>Member</i>:<br>United Conservative Party of Alberta"
Jennifer Johnson,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Jennifer Johnson, <i>Member</i>:<br>United Conservative Party of Alberta"
Joseph Schow,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Joseph Schow, <i>Member</i>:<br>United Conservative Party of Alberta"
Justin Wright,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Justin Wright, <i>Member</i>:<br>United Conservative Party of Alberta"
Martin Long,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Martin Long, <i>Member</i>:<br>United Conservative Party of Alberta"
Matt Jones,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Matt Jones, <i>Member</i>:<br>United Conservative Party of Alberta"
Mickey Amery,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Mickey Amery, <i>Member</i>:<br>United Conservative Party of Alberta"
Mike Ellis,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Mike Ellis, <i>Member</i>:<br>United Conservative Party of Alberta"
Mitch Sylvestre,United Conservative Party of Alberta,Pres. of constit. assc.,https://daveberta.ca/2025/10/alberta-separatists-march-on-the-legislature-and-ucp-agm/,"Mitch Sylvestre, <i>Pres. of constit. assc.</i>:<br>United Conservative Party of Alberta"
Muhammed Yaseen,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Muhammed Yaseen, <i>Member</i>:<br>United Conservative Party of Alberta"
Myles McDougall,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Myles McDougall, <i>Member</i>:<br>United Conservative Party of Alberta"
Nate Glubish,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Nate Glubish, <i>Member</i>:<br>United Conservative Party of Alberta"
Nate Horner,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Nate Horner, <i>Member</i>:<br>United Conservative Party of Alberta"
Nathan Cooper,United Conservative Party of Alberta,Member,https://en.wikipedia.org/wiki/Nathan_Cooper_(Canadian_politician),"Nathan Cooper, <i>Member</i>:<br>United Conservative Party of Alberta"
Nathan Neudorf,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Nathan Neudorf, <i>Member</i>:<br>United Conservative Party of Alberta"
Nolan Dyck,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Nolan Dyck, <i>Member</i>:<br>United Conservative Party of Alberta"
Peter Singh,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Peter Singh, <i>Member</i>:<br>United Conservative Party of Alberta"
Peter Weichler,United Conservative Party of Alberta,Former board director,https://daveberta.substack.com/p/ten-questions-about-alberta-separatism,"Peter Weichler, <i>Former board director</i>:<br>United Conservative Party of Alberta"
R.J. Sigurdson,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"R.J. Sigurdson, <i>Member</i>:<br>United Conservative Party of Alberta"
Rajan Sawhney,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Rajan Sawhney, <i>Member</i>:<br>United Conservative Party of Alberta"
Rick Wilson,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Rick Wilson, <i>Member</i>:<br>United Conservative Party of Alberta"
Rob Anderson,United Conservative Party of Alberta,Office of the Premier,,"Rob Anderson, <i>Office of the Premier</i>:<br>United Conservative Party of Alberta"
